#TF	target
Ino4	YAL038W
Ino4	YJL168C
Ino4	YER007C-A
Ino4	YGR130C
Ino4	YOR206W
Ino4	YGR155W
Ino4	YMR187C
Ino4	YDR464W
Ino4	YJL201W
Ino4	YMR083W
Ino4	YGR086C
Ino4	YGR131W
Ino4	YGL007C-A
Ino4	YKL183W
Ino4	YOL013W-A
Ino4	YJL209W
Ino4	YOL119C
Ino4	YKL182W
Ino4	YKL182W
Ino4	YJR105W
Ino4	YKL220C
Ino4	YOR354C
Ino4	YGL231C
Ino4	YER053C
Ino4	YBR087W
Ino4	YER032W
Ino4	YNL076W
Ino4	YOR316C-A
Ino4	YJR127C
Ino4	YLR453C
Ino4	YGR169C-A
Ino4	YHR128W
Ino4	YHR001W
Ino4	YOR297C
Ino4	YHR136C
Ino4	YHR136C
Ino4	YIL101C
Ino4	YGR235C
Ino4	YDR127W
Ino4	YMR186W
Ino4	YNL175C
Ino4	YHR083W
Ino4	YGR204W
Ino4	YNL246W
Ino4	YOL083W
Ino4	YDR277C
Ino4	YNL169C
Ino4	YBR216C
Ino4	YER013W
Ino4	YGL125W
Ino4	YKL027W
Ino4	YHR137W
Ino4	YDR407C
Ino4	YPL202C
Ino4	YIL008W
Ino4	YPR115W
Ino4	YDR279W
Ino4	YLR306W
Ino4	YDR284C
Ino4	YLR248W
Ino4	YIL020C
Ino4	YPL092W
Ino4	YBL054W
Ino4	YMR029C
Ino4	YMR029C
Ino4	YCL055W
Ino4	YPR121W
Ino4	YKL138C-A
Ino4	YDR411C
Ino4	YLR249W
Ino4	YDR286C
Ino4	YGL176C
Ino4	YKL152C
Ino4	YBR213W
Ino4	YBL043W
Ino4	YDR499W
Ino4	YMR185W
Ino4	YKR004C
Ino4	YJL091C
Ino4	YER092W
Ino4	YML131W
Ino4	YOR186W
Ino4	YHR007C
Ino4	YLR107W
Ino4	YNL313C
Ino4	YFR012W
Ino4	YMR072W
Ino4	YLR109W
Ino4	YOL027C
Ino4	YDR132C
Ino4	YNL090W
Ino4	YGR233C
Ino4	YLR305C
Ino4	YMR134W
Ino4	YNL132W
Ino4	YGR166W
Ino4	YGR234W
Ino4	YCR057C
Ino4	YML018C
Ino4	YCR092C
Ino4	YBR082C
Ino4	YER077C
Ino4	YPR137W
Ino4	YLR285W
Ino4	YMR004W
Ino4	YER031C
Ino4	YCR037C
Ino4	YDR051C
Ino4	YLR113W
Ino4	YNL171C
Ino4	YMR084W
Ino4	YCR032W
Ino4	YJR110W
Ino4	YJR110W
Ino4	YLL015W
Ino4	YJL151C
Ino4	YMR135C
Ino4	YOL010W
Ino4	YMR259C
Ino4	YOR234C
Ino4	YNL128W
Ino4	YLR284C
Ino4	YDL142C
Ino4	YGL134W
Ino4	YDR425W
Ino4	YDR169C
Ino4	YDR371W
Ino4	YKL172W
Ino4	YJR002W
Ino4	YPL071C
Ino4	YIL055C
Ino4	YIL055C
Ino4	YJL047C-A
Ino4	YJL140W
